Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Zak Dembele,2,1,0,34,68,50.0,4,20,20.0,10,11,90.9,17,3,2,9,4,1,82,10.0,1.0,4.5,0.5,41.0,37.5
Parminder Mangat,18,42,0,240,493,48.7,61,144,42.4,50,60,83.3,125,35,57,32,43,7,592,8.9,3.2,1.8,0.4,32.9,30.1
Chris Benevides,5,11,1,68,118,57.6,12,29,41.4,10,12,83.3,22,5,34,16,13,0,158,5.4,6.8,3.2,0.0,31.6,34.0
Emmanuel Ugbah,1,1,0,10,23,43.5,5,12,41.7,5,7,71.4,4,1,1,4,1,1,30,5.0,1.0,4.0,1.0,30.0,25.0
Don Dayrit,18,23,0,189,413,45.8,82,218,37.6,64,74,86.5,67,17,65,56,46,8,525,4.7,3.6,3.1,0.4,29.2,25.4
Victor Bell,13,45,0,157,338,46.4,26,89,29.2,30,62,48.4,128,38,39,29,32,8,370,12.8,3.0,2.2,0.6,28.5,28.2
Dior Walker,1,0,0,11,22,50.0,0,2,0.0,6,15,40.0,11,5,2,0,8,0,28,16.0,2.0,0.0,0.0,28.0,18.0
Marcus Foreman,6,9,0,66,153,43.1,16,49,32.7,18,30,60.0,56,14,13,3,15,9,166,11.7,2.2,0.5,1.5,27.7,24.5
Geilon Betances,17,27,0,177,433,40.9,54,178,30.3,57,85,67.1,115,72,38,38,38,9,465,11.0,2.2,2.2,0.5,27.4,24.4
Jesse Bardaje,3,2,0,28,48,58.3,20,34,58.8,6,7,85.7,12,2,7,4,7,3,82,4.7,2.3,1.3,1.0,27.3,27.3
Ricardo Villeda,1,1,0,10,20,50.0,1,6,16.7,5,5,100.0,11,0,3,2,4,0,26,11.0,3.0,2.0,0.0,26.0,28.0
Joseph Ponce-Medrano,17,21,1,166,327,50.8,57,125,45.6,38,47,80.9,107,12,44,25,39,4,431,7.0,2.6,1.5,0.2,25.4,24.4
Ryan Wiebe,14,13,1,110,316,34.8,45,172,26.2,77,102,75.5,155,33,45,18,24,4,346,13.4,3.2,1.3,0.3,24.7,24.7
Kevlin Asiedu,3,10,0,30,63,47.6,5,19,26.3,8,19,42.1,29,12,14,10,13,1,73,13.7,4.7,3.3,0.3,24.3,27.3
Dharmpal Brar,17,11,0,155,301,51.5,78,165,47.3,23,31,74.2,131,30,42,20,26,1,411,9.5,2.5,1.2,0.1,24.2,26.8
Rashawn Browne,19,23,2,159,339,46.9,90,212,42.5,51,73,69.9,98,10,150,21,68,2,459,5.7,7.9,1.1,0.1,24.2,24.7
Samuel Bereketab,38,62,0,344,799,43.1,169,484,34.9,63,86,73.3,142,53,105,70,113,15,917,5.1,2.8,1.8,0.4,24.1,18.7
Chisom Njelita,1,4,1,9,16,56.3,4,10,40.0,2,4,50.0,9,1,1,3,6,1,24,10.0,1.0,3.0,1.0,24.0,24.0
Dakota Martin,37,26,0,408,771,52.9,5,23,21.7,57,84,67.9,260,151,34,27,74,10,880,11.1,0.9,0.7,0.3,23.8,24.3
Dax Monhnaez,10,9,0,95,232,40.9,24,85,28.2,21,30,70.0,23,15,29,10,33,0,235,3.8,2.9,1.0,0.0,23.5,13.3
Elliot Unger,15,11,0,146,325,44.9,24,79,30.4,34,48,70.8,129,65,51,17,32,30,352,12.9,3.4,1.1,2.0,23.5,27.9
Micah Willms,18,36,4,137,394,34.8,52,205,25.4,98,158,62.0,74,28,62,43,63,4,423,5.7,3.4,2.4,0.2,23.5,14.1
Caleb McIntosh (Robert),10,17,0,89,192,46.4,35,94,37.2,17,24,70.8,75,30,24,10,13,4,232,10.5,2.4,1.0,0.4,23.2,25.2
Brett Carter,16,17,0,155,351,44.2,12,65,18.5,43,71,60.6,107,54,28,20,48,0,368,10.1,1.8,1.3,0.0,23.0,19.1
Aaron Woo,15,24,1,127,356,35.7,41,153,26.8,48,75,64.0,89,10,28,28,31,5,343,6.6,1.9,1.9,0.3,22.9,14.4
Jaired Garing,19,32,0,166,422,39.3,54,185,29.2,46,64,71.9,130,42,125,54,64,4,432,9.1,6.6,2.8,0.2,22.7,23.6
David King,36,50,3,295,635,46.5,53,216,24.5,168,228,73.7,320,82,119,49,76,11,811,11.2,3.3,1.4,0.3,22.5,25.4
Kamil Tynski,4,4,0,33,74,44.6,16,41,39.0,10,11,90.9,10,8,2,5,6,2,90,4.5,0.5,1.3,0.5,22.5,17.3
Mahmoud Sesay,16,19,0,151,334,45.2,21,102,20.6,37,50,74.0,125,38,64,57,31,17,360,10.2,4.0,3.6,1.1,22.5,27.1
Joash Rocaberte,28,34,0,239,529,45.2,93,280,33.2,55,81,67.9,109,54,70,92,75,7,626,5.8,2.5,3.3,0.3,22.4,20.3
Edge Capuno,10,25,0,90,207,43.5,19,61,31.1,23,37,62.2,59,24,38,43,32,0,223,8.3,3.8,4.3,0.0,22.3,22.4
Orion Remoquillo,4,0,0,33,53,62.3,17,31,54.8,6,8,75.0,2,3,9,12,5,0,89,1.3,2.3,3.0,0.0,22.3,22.0
Parker Hamlin,7,6,1,59,146,40.4,19,70,27.1,14,24,58.3,34,10,16,16,13,1,152,6.3,2.3,2.3,0.1,21.7,17.0
Matt Gillis,13,12,0,117,236,49.6,17,40,42.5,29,54,53.7,90,37,31,14,25,4,279,9.8,2.4,1.1,0.3,21.5,22.0
Eric Garcia,15,4,0,112,290,38.6,50,164,30.5,48,84,57.1,47,21,39,21,34,2,322,4.5,2.6,1.4,0.1,21.5,13.6
Joshua Fast,18,28,0,152,326,46.6,56,142,39.4,23,30,76.7,79,14,53,24,36,2,383,5.2,2.9,1.3,0.1,21.3,18.8
Cyril Indome,15,17,1,108,280,38.6,51,141,36.2,50,66,75.8,87,53,51,18,43,4,317,9.3,3.4,1.2,0.3,21.1,19.9
Abdalla Hakim,61,30,0,510,1038,49.1,181,482,37.6,85,112,75.9,315,185,214,168,137,54,1286,8.2,3.5,2.8,0.9,21.1,25.1
Peter Lomuro,10,6,0,80,194,41.2,22,67,32.8,30,50,60.0,39,15,23,12,24,1,210,5.4,2.3,1.2,0.1,21.0,14.2
Xander Small,1,5,0,7,22,31.8,2,12,16.7,3,7,42.9,11,5,5,0,2,0,21,16.0,5.0,0.0,0.0,21.0,21.0
Sam Jensen,5,2,0,40,84,47.6,16,47,34.0,9,10,90.0,16,4,22,11,7,1,105,4.0,4.4,2.2,0.2,21.0,21.4
Sonny Sylvester,10,4,0,76,184,41.3,40,119,33.6,17,21,81.0,38,15,33,12,14,0,209,5.3,3.3,1.2,0.0,20.9,18.1
Esteban Gomez,11,30,5,79,213,37.1,44,140,31.4,24,34,70.6,80,9,37,36,17,1,226,8.1,3.4,3.3,0.1,20.5,20.7
Julean Garcia,18,52,0,156,319,48.9,7,33,21.2,50,93,53.8,105,61,30,44,33,3,367,9.2,1.7,2.4,0.2,20.4,20.6
Jonathan Kuz,18,16,0,142,377,37.7,35,112,31.3,47,72,65.3,64,15,38,20,24,1,365,4.4,2.1,1.1,0.1,20.3,12.2
Ashton Dior,3,6,0,21,55,38.2,1,8,12.5,18,29,62.1,24,12,5,3,28,1,61,12.0,1.7,1.0,0.3,20.3,11.0
Jon Wilner,19,28,2,162,361,44.9,21,95,22.1,39,58,67.2,84,34,71,20,31,4,384,6.2,3.7,1.1,0.2,20.2,18.3
Nash Matias,17,17,1,128,384,33.3,44,177,24.9,42,64,65.6,49,22,32,18,23,3,342,4.2,1.9,1.1,0.2,20.1,9.7
Easton Apostle,16,29,0,124,298,41.6,63,185,34.1,7,13,53.8,66,15,22,30,21,16,319,5.1,1.4,1.9,1.0,19.9,16.7
Gee-ef Nkwonta,18,18,0,151,385,39.2,33,125,26.4,21,31,67.7,66,19,65,41,34,6,356,4.7,3.6,2.3,0.3,19.8,15.3
Liam Collier,13,30,0,105,274,38.3,11,50,22.0,35,55,63.6,123,50,44,28,29,4,256,13.3,3.4,2.2,0.3,19.7,22.1
